"[21064.0, 8605.0, 18534.0, 15178.0, 13773.0, 15296.0]","[36634.0, 24957.0, 37700.0, 37985.0, 28239.0, 25097.0]","[28361.0, 39822.0, 39607.0, 22711.0, 26832.0, 23476.0]","[20807.0, 24536.0, 23966.0, 31942.0, 32735.0, 33109.0]","[24339.0, 16785.0, 21396.0, 20957.0, 26845.0, 20462.0]","[29202.0, 33855.0, 26425.0, 30866.0, 30361.0, 30805.0]","[29175.0, 26932.0, 27268.0, 28701.0, 31951.0, 34085.0]","[25966.0, 38686.0, 22973.0, 37869.0, 35054.0, 41488.0]","[20558.0, 18835.0, 17485.0, 17894.0, 20794.0, 18524.0]","[31203.0, 46133.0, 31441.0, 34946.0, 37495.0, 29554.0]"
"[25007.0, 24564.0, 35404.0, 21693.0, 24713.0, 25648.0]","[19593.0, 17880.0, 18744.0, 16952.0, 20141.0, 20811.0]","[21380.0, 20888.0, 32250.0, 30587.0, 17646.0, 25592.0]","[16421.0, 33881.0, 28756.0, 31791.0, 25961.0, 21246.0]","[14759.0, 11742.0, 14924.0, 15925.0, 13336.0, 18437.0]","[18731.0, 18366.0, 19798.0, 18622.0, 27489.0, 20015.0]","[27241.0, 29222.0, 27081.0, 23402.0, 25835.0, 23810.0]","[29280.0, 29145.0, 29632.0, 37994.0, 35328.0, 34403.0]","[23285.0, 24625.0, 22071.0, 21307.0, 22827.0, 24995.0]","[30592.0, 18880.0, 18543.0, 28867.0, 36938.0, 10881.0]"
"[20786.0, 22447.0, 9347.0, 2540.0, 2031.0, 1119.0]","[28924.0, 31804.0, 37451.0, 29152.0, 29104.0, 30130.0]","[34648.0, 34026.0, 28607.0, 30004.0, 33546.0, 25460.0]","[20984.0, 3349.0, 9959.0, 12849.0, 18051.0, 23616.0]","[17327.0, 19495.0, 38701.0, 16179.0, 19794.0, 17706.0]","[21515.0, 20681.0, 20745.0, 19652.0, 21638.0, 19870.0]","[34623.0, 23930.0, 35534.0, 32991.0, 29766.0, 26085.0]","[32895.0, 30958.0, 33295.0, 27294.0, 34148.0, 38474.0]","[26641.0, 25498.0, 16460.0, 25335.0, 25321.0, 21183.0]","[30186.0, 20801.0, 24520.0, 19116.0, 19180.0, 21170.0]"
"[22896.0, 24413.0, 21762.0, 20469.0, 27388.0, 22674.0]","[18892.0, 21511.0, 12169.0, 15493.0, 18037.0, 22829.0]","[17540.0, 16809.0, 20622.0, 19497.0, 18467.0, 15823.0]","[18328.0, 27819.0, 8377.0, 31429.0, 32228.0, 25716.0]","[26280.0, 45985.0, 35720.0, 35555.0, 33062.0, 15176.0]","[32757.0, 32484.0, 31337.0, 29970.0, 31330.0, 30325.0]","[25471.0, 33232.0, 27851.0, 38433.0, 25131.0, 34621.0]","[14837.0, 15811.0, 20942.0, 14111.0, 14632.0, 13183.0]","[18486.0, 18158.0, 20537.0, 18038.0, 18315.0, 17197.0]","[17875.0, 23745.0, 19000.0, 17377.0, 39785.0, 36248.0]"
"[28131.0, 29157.0, 10634.0, 22714.0, 21752.0, 16109.0]","[29929.0, 23995.0, 16633.0, 25570.0, 17707.0, 20513.0]","[13025.0, 7201.0, 9716.0, 3864.0, 15014.0, 15790.0]","[36498.0, 21077.0, 30207.0, 37283.0, 35201.0, 31927.0]","[19379.0, 18696.0, 19004.0, 18928.0, 19676.0, 20020.0]","[26384.0, 23041.0, 19244.0, 39579.0, 34772.0, 17797.0]","[9957.0, 8588.0, 14295.0, 8235.0, 13076.0, 7866.0]","[10317.0, 3802.0, 16366.0, 27742.0, 16990.0, 13428.0]","[14454.0, 14193.0, 8217.0, 11911.0, 23872.0, 18793.0]","[20117.0, 19843.0, 29238.0, 17806.0, 16050.0, 41161.0]"
"[23499.0, 18166.0, 26007.0, 21766.0, 33927.0, 18328.0]","[19733.0, 16563.0, 16705.0, 20135.0, 16804.0, 20489.0]","[20817.0, 17057.0, 13727.0, 16041.0, 14211.0, 14501.0]","[34843.0, 42167.0, 31538.0, 33259.0, 29893.0, 37265.0]","[24795.0, 21711.0, 10381.0, 22264.0, 15665.0, 25097.0]","[30217.0, 30479.0, 21142.0, 32416.0, 25151.0, 25892.0]","[14879.0, 13654.0, 18484.0, 16297.0, 18561.0, 10924.0]","[15997.0, 19205.0, 27492.0, 18028.0, 19990.0, 19990.0]","[15650.0, 13333.0, 6698.0, 18737.0, 15125.0, 13033.0]","[24260.0, 21635.0, 25864.0, 24489.0, 20622.0, 27607.0]"
"[27872.0, 16572.0, 23299.0, 41856.0, 34432.0, 23540.0]","[27273.0, 32063.0, 24022.0, 24233.0, 31544.0, 22580.0]","[18025.0, 12477.0, 9394.0, 11256.0, 11781.0, 14266.0]","[14839.0, 17658.0, 19559.0, 14372.0, 16052.0, 16079.0]","[24887.0, 24092.0, 29181.0, 22002.0, 25687.0, 25949.0]","[11724.0, 11370.0, 14021.0, 20122.0, 4973.0, 1114.0]","[32005.0, 37012.0, 30973.0, 32492.0, 27266.0, 34353.0]","[14222.0, 12894.0, 17342.0, 9622.0, 24355.0, 21996.0]","[22093.0, 17949.0, 20552.0, 17965.0, 19064.0, 20715.0]","[12227.0, 13088.0, 29439.0, 22516.0, 14544.0, 15414.0]"
"[28.0, 1783.0, 20777.0, 8654.0, 15545.0, 9348.0]","[33266.0, 31968.0, 33794.0, 33475.0, 34454.0, 33520.0]","[16191.0, 3670.0, 20517.0, 23804.0, 10763.0, 21446.0]","[15460.0, 14522.0, 14529.0, 14124.0, 14211.0, 15073.0]","[25435.0, 23847.0, 19853.0, 17009.0, 17119.0, 16352.0]","[23671.0, 20692.0, 24080.0, 23576.0, 25149.0, 20618.0]","[18768.0, 17978.0, 19386.0, 16962.0, 19056.0, 20168.0]","[40778.0, 41416.0, 36265.0, 31668.0, 38197.0, 38400.0]","[25982.0, 18185.0, 19015.0, 19885.0, 27233.0, 15752.0]","[18683.0, 25849.0, 32727.0, 23637.0, 15837.0, 37758.0]"
"[20554.0, 21788.0, 31530.0, 13105.0, 32440.0, 36964.0]","[29953.0, 31182.0, 35602.0, 36156.0, 16654.0, 20614.0]","[12319.0, 20118.0, 13157.0, 13580.0, 16973.0, 10790.0]","[21761.0, 17257.0, 16098.0, 15818.0, 18482.0, 23736.0]","[32421.0, 26058.0, 28514.0, 23614.0, 23223.0, 20673.0]","[34617.0, 38033.0, 36720.0, 39656.0, 32615.0, 33088.0]","[16555.0, 19241.0, 15735.0, 18347.0, 13910.0, 18096.0]","[27205.0, 27056.0, 25574.0, 24693.0, 23929.0, 26413.0]","[17751.0, 16598.0, 16594.0, 19044.0, 21737.0, 20025.0]","[13449.0, 12263.0, 10553.0, 11435.0, 12376.0, 13854.0]"
"[22424.0, 23225.0, 19270.0, 22212.0, 25669.0, 21739.0]","[19467.0, 15068.0, 18175.0, 14097.0, 17662.0, 13408.0]","[19106.0, 22646.0, 11806.0, 12958.0, 12259.0, 14645.0]","[17995.0, 20636.0, 31251.0, 20718.0, 15025.0, 7688.0]","[16028.0, 34455.0, 23256.0, 26422.0, 19296.0, 6841.0]","[30823.0, 26417.0, 35555.0, 31208.0, 33999.0, 35949.0]","[25820.0, 22567.0, 26814.0, 25065.0, 23589.0, 24056.0]","[37523.0, 49471.0, 41331.0, 39458.0, 49706.0, 27356.0]","[23800.0, 16574.0, 16379.0, 19076.0, 19655.0, 17446.0]","[24551.0, 27960.0, 29553.0, 16011.0, 27039.0, 28743.0]"
